,ArrestDate,KY_CD,Offense,Race,Count
0,1/1/2021,101,MURDER,BLACK,2
1,1/1/2021,104,RAPE,HISPANIC,1
2,1/1/2021,105,ROBBERY,BLACK,11
3,1/1/2021,105,ROBBERY,HISPANIC,4
4,1/1/2021,105,ROBBERY,WHITE,1
5,1/1/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,4
6,1/1/2021,106,FELONY ASSAULT,BLACK,25
7,1/1/2021,106,FELONY ASSAULT,HISPANIC,23
8,1/1/2021,106,FELONY ASSAULT,WHITE,2
9,1/1/2021,107,BURGLARY,BLACK,13
10,1/1/2021,107,BURGLARY,HISPANIC,1
11,1/1/2021,107,BURGLARY,WHITE,1
12,1/1/2021,109,GRAND LARCENY,BLACK,1
13,1/1/2021,109,GRAND LARCENY,HISPANIC,1
14,1/1/2021,109,GRAND LARCENY,WHITE,1
15,1/1/2021,110,GRAND LARCENY,BLACK,5
16,1/1/2021,110,GRAND LARCENY,WHITE,1
17,1/1/2021,114,ARSON,BLACK,1
18,1/1/2021,117,FELONY DRUGS,ASIAN / PACIFIC ISLANDER,2
19,1/1/2021,117,FELONY DRUGS,BLACK,8
20,1/1/2021,117,FELONY DRUGS,HISPANIC,3
21,1/1/2021,118,WEAPON POSSESSION,BLACK,36
22,1/1/2021,118,WEAPON POSSESSION,HISPANIC,2
23,1/1/2021,119,DUI,ASIAN / PACIFIC ISLANDER,1
24,1/1/2021,119,DUI,HISPANIC,2
25,1/1/2021,119,DUI,WHITE,1
26,1/1/2021,124,KIDNAPPING,BLACK,1
27,1/1/2021,233,SEX CRIMES,BLACK,2
28,1/1/2021,233,SEX CRIMES,HISPANIC,3
29,1/1/2021,233,SEX CRIMES,WHITE,2
30,1/1/2021,235,FELONY DRUGS,BLACK,3
31,1/1/2021,235,FELONY DRUGS,HISPANIC,6
32,1/1/2021,235,FELONY DRUGS,WHITE,1
33,1/1/2021,236,WEAPON POSSESSION,BLACK,1
34,1/1/2021,236,WEAPON POSSESSION,HISPANIC,1
35,1/1/2021,236,WEAPON POSSESSION,WHITE,3
36,1/1/2021,344,ASSAULT,ASIAN / PACIFIC ISLANDER,2
37,1/1/2021,344,ASSAULT,BLACK,40
38,1/1/2021,344,ASSAULT,HISPANIC,43
39,1/1/2021,344,ASSAULT,WHITE,13
40,1/1/2021,347,DUI,ASIAN / PACIFIC ISLANDER,2
41,1/1/2021,347,DUI,BLACK,10
42,1/1/2021,347,DUI,HISPANIC,15
43,1/1/2021,347,DUI,WHITE,3
44,1/2/2021,104,RAPE,BLACK,1
45,1/2/2021,105,ROBBERY,BLACK,7
46,1/2/2021,105,ROBBERY,HISPANIC,2
47,1/2/2021,105,ROBBERY,WHITE,1
48,1/2/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,1
49,1/2/2021,106,FELONY ASSAULT,BLACK,18
50,1/2/2021,106,FELONY ASSAULT,HISPANIC,14
51,1/2/2021,106,FELONY ASSAULT,WHITE,4
52,1/2/2021,107,BURGLARY,BLACK,3
53,1/2/2021,107,BURGLARY,HISPANIC,10
54,1/2/2021,107,BURGLARY,WHITE,2
55,1/2/2021,109,GRAND LARCENY,BLACK,5
56,1/2/2021,109,GRAND LARCENY,HISPANIC,8
57,1/2/2021,110,GRAND LARCENY,BLACK,4
58,1/2/2021,110,GRAND LARCENY,HISPANIC,2
59,1/2/2021,114,ARSON,BLACK,1
60,1/2/2021,117,FELONY DRUGS,ASIAN / PACIFIC ISLANDER,1
61,1/2/2021,117,FELONY DRUGS,BLACK,12
62,1/2/2021,117,FELONY DRUGS,HISPANIC,5
63,1/2/2021,117,FELONY DRUGS,WHITE,1
64,1/2/2021,118,WEAPON POSSESSION,ASIAN / PACIFIC ISLANDER,2
65,1/2/2021,118,WEAPON POSSESSION,BLACK,15
66,1/2/2021,118,WEAPON POSSESSION,HISPANIC,2
67,1/2/2021,119,DUI,BLACK,1
68,1/2/2021,119,DUI,WHITE,1
69,1/2/2021,233,SEX CRIMES,ASIAN / PACIFIC ISLANDER,1
70,1/2/2021,233,SEX CRIMES,BLACK,4
71,1/2/2021,233,SEX CRIMES,HISPANIC,3
72,1/2/2021,235,FELONY DRUGS,BLACK,8
73,1/2/2021,235,FELONY DRUGS,HISPANIC,6
74,1/2/2021,235,FELONY DRUGS,WHITE,3
75,1/2/2021,236,WEAPON POSSESSION,BLACK,3
76,1/2/2021,236,WEAPON POSSESSION,WHITE,2
77,1/2/2021,344,ASSAULT,ASIAN / PACIFIC ISLANDER,8
78,1/2/2021,344,ASSAULT,BLACK,33
79,1/2/2021,344,ASSAULT,HISPANIC,18
80,1/2/2021,344,ASSAULT,WHITE,5
81,1/2/2021,347,DUI,BLACK,2
82,1/2/2021,347,DUI,HISPANIC,1
83,1/2/2021,347,DUI,WHITE,2
84,1/3/2021,101,MURDER,BLACK,1
85,1/3/2021,104,RAPE,BLACK,1
86,1/3/2021,104,RAPE,HISPANIC,1
87,1/3/2021,105,ROBBERY,BLACK,5
88,1/3/2021,105,ROBBERY,HISPANIC,11
89,1/3/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,2
90,1/3/2021,106,FELONY ASSAULT,BLACK,19
91,1/3/2021,106,FELONY ASSAULT,HISPANIC,5
92,1/3/2021,106,FELONY ASSAULT,UNKNOWN,1
93,1/3/2021,106,FELONY ASSAULT,WHITE,2
94,1/3/2021,107,BURGLARY,BLACK,6
95,1/3/2021,107,BURGLARY,HISPANIC,3
96,1/3/2021,109,GRAND LARCENY,BLACK,3
97,1/3/2021,109,GRAND LARCENY,HISPANIC,3
98,1/3/2021,109,GRAND LARCENY,WHITE,3
99,1/3/2021,117,FELONY DRUGS,BLACK,2
100,1/3/2021,117,FELONY DRUGS,HISPANIC,2
101,1/3/2021,118,WEAPON POSSESSION,BLACK,13
102,1/3/2021,118,WEAPON POSSESSION,HISPANIC,5
103,1/3/2021,233,SEX CRIMES,ASIAN / PACIFIC ISLANDER,2
104,1/3/2021,233,SEX CRIMES,BLACK,2
105,1/3/2021,235,FELONY DRUGS,BLACK,3
106,1/3/2021,235,FELONY DRUGS,HISPANIC,3
107,1/3/2021,235,FELONY DRUGS,WHITE,1
108,1/3/2021,236,WEAPON POSSESSION,HISPANIC,1
109,1/3/2021,344,ASSAULT,ASIAN / PACIFIC ISLANDER,6
110,1/3/2021,344,ASSAULT,BLACK,38
111,1/3/2021,344,ASSAULT,HISPANIC,18
112,1/3/2021,344,ASSAULT,WHITE,3
113,1/3/2021,347,DUI,AMERICAN INDIAN/ALASKAN NATIVE,1
114,1/3/2021,347,DUI,BLACK,3
115,1/3/2021,347,DUI,HISPANIC,4
116,1/3/2021,347,DUI,UNKNOWN,1
117,1/4/2021,101,MURDER,BLACK,1
118,1/4/2021,101,MURDER,HISPANIC,2
119,1/4/2021,104,RAPE,AMERICAN INDIAN/ALASKAN NATIVE,1
120,1/4/2021,104,RAPE,BLACK,1
121,1/4/2021,104,RAPE,HISPANIC,2
122,1/4/2021,105,ROBBERY,BLACK,9
123,1/4/2021,105,ROBBERY,HISPANIC,6
124,1/4/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,6
125,1/4/2021,106,FELONY ASSAULT,BLACK,16
126,1/4/2021,106,FELONY ASSAULT,HISPANIC,13
127,1/4/2021,106,FELONY ASSAULT,WHITE,1
128,1/4/2021,107,BURGLARY,BLACK,7
129,1/4/2021,107,BURGLARY,HISPANIC,1
130,1/4/2021,107,BURGLARY,WHITE,3
131,1/4/2021,109,GRAND LARCENY,ASIAN / PACIFIC ISLANDER,1
132,1/4/2021,109,GRAND LARCENY,BLACK,2
133,1/4/2021,109,GRAND LARCENY,HISPANIC,3
134,1/4/2021,109,GRAND LARCENY,WHITE,6
135,1/4/2021,110,GRAND LARCENY,BLACK,1
136,1/4/2021,116,SEX CRIMES,HISPANIC,1
137,1/4/2021,117,FELONY DRUGS,BLACK,3
138,1/4/2021,117,FELONY DRUGS,HISPANIC,3
139,1/4/2021,117,FELONY DRUGS,WHITE,1
140,1/4/2021,118,WEAPON POSSESSION,BLACK,10
141,1/4/2021,118,WEAPON POSSESSION,HISPANIC,1
142,1/4/2021,124,KIDNAPPING,BLACK,1
143,1/4/2021,233,SEX CRIMES,AMERICAN INDIAN/ALASKAN NATIVE,1
144,1/4/2021,233,SEX CRIMES,ASIAN / PACIFIC ISLANDER,1
145,1/4/2021,233,SEX CRIMES,HISPANIC,2
146,1/4/2021,235,FELONY DRUGS,BLACK,4
147,1/4/2021,235,FELONY DRUGS,HISPANIC,5
148,1/4/2021,236,WEAPON POSSESSION,BLACK,1
149,1/4/2021,236,WEAPON POSSESSION,WHITE,2
150,1/4/2021,344,ASSAULT,ASIAN / PACIFIC ISLANDER,6
151,1/4/2021,344,ASSAULT,BLACK,29
152,1/4/2021,344,ASSAULT,HISPANIC,29
153,1/4/2021,344,ASSAULT,WHITE,7
154,1/4/2021,347,DUI,HISPANIC,1
155,1/5/2021,101,MURDER,BLACK,3
156,1/5/2021,104,RAPE,BLACK,2
157,1/5/2021,104,RAPE,HISPANIC,2
158,1/5/2021,105,ROBBERY,ASIAN / PACIFIC ISLANDER,1
159,1/5/2021,105,ROBBERY,BLACK,18
160,1/5/2021,105,ROBBERY,HISPANIC,11
161,1/5/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,1
162,1/5/2021,106,FELONY ASSAULT,BLACK,40
163,1/5/2021,106,FELONY ASSAULT,HISPANIC,19
164,1/5/2021,106,FELONY ASSAULT,WHITE,2
165,1/5/2021,107,BURGLARY,BLACK,9
166,1/5/2021,107,BURGLARY,HISPANIC,27
167,1/5/2021,107,BURGLARY,WHITE,4
168,1/5/2021,109,GRAND LARCENY,AMERICAN INDIAN/ALASKAN NATIVE,1
169,1/5/2021,109,GRAND LARCENY,ASIAN / PACIFIC ISLANDER,1
170,1/5/2021,109,GRAND LARCENY,BLACK,28
171,1/5/2021,109,GRAND LARCENY,HISPANIC,4
172,1/5/2021,109,GRAND LARCENY,WHITE,1
173,1/5/2021,110,GRAND LARCENY,BLACK,5
174,1/5/2021,110,GRAND LARCENY,HISPANIC,2
175,1/5/2021,110,GRAND LARCENY,WHITE,1
176,1/5/2021,114,ARSON,BLACK,1
177,1/5/2021,116,SEX CRIMES,HISPANIC,1
178,1/5/2021,117,FELONY DRUGS,ASIAN / PACIFIC ISLANDER,1
179,1/5/2021,117,FELONY DRUGS,BLACK,3
180,1/5/2021,117,FELONY DRUGS,HISPANIC,8
181,1/5/2021,117,FELONY DRUGS,UNKNOWN,1
182,1/5/2021,117,FELONY DRUGS,WHITE,2
183,1/5/2021,118,WEAPON POSSESSION,ASIAN / PACIFIC ISLANDER,1
184,1/5/2021,118,WEAPON POSSESSION,BLACK,13
185,1/5/2021,118,WEAPON POSSESSION,HISPANIC,2
186,1/5/2021,233,SEX CRIMES,BLACK,5
187,1/5/2021,233,SEX CRIMES,HISPANIC,2
188,1/5/2021,233,SEX CRIMES,WHITE,5
189,1/5/2021,235,FELONY DRUGS,ASIAN / PACIFIC ISLANDER,1
190,1/5/2021,235,FELONY DRUGS,BLACK,20
191,1/5/2021,235,FELONY DRUGS,HISPANIC,18
192,1/5/2021,235,FELONY DRUGS,WHITE,11
193,1/5/2021,236,WEAPON POSSESSION,BLACK,2
194,1/5/2021,236,WEAPON POSSESSION,HISPANIC,1
195,1/5/2021,236,WEAPON POSSESSION,UNKNOWN,1
196,1/5/2021,236,WEAPON POSSESSION,WHITE,1
197,1/5/2021,344,ASSAULT,ASIAN / PACIFIC ISLANDER,2
198,1/5/2021,344,ASSAULT,BLACK,47
199,1/5/2021,344,ASSAULT,HISPANIC,25
200,1/5/2021,344,ASSAULT,WHITE,13
201,1/5/2021,347,DUI,BLACK,1
202,1/5/2021,347,DUI,HISPANIC,2
203,1/5/2021,347,DUI,WHITE,1
204,1/6/2021,101,MURDER,BLACK,3
205,1/6/2021,101,MURDER,HISPANIC,3
206,1/6/2021,104,RAPE,ASIAN / PACIFIC ISLANDER,1
207,1/6/2021,104,RAPE,BLACK,1
208,1/6/2021,104,RAPE,HISPANIC,1
209,1/6/2021,105,ROBBERY,AMERICAN INDIAN/ALASKAN NATIVE,1
210,1/6/2021,105,ROBBERY,ASIAN / PACIFIC ISLANDER,1
211,1/6/2021,105,ROBBERY,BLACK,31
212,1/6/2021,105,ROBBERY,HISPANIC,10
213,1/6/2021,105,ROBBERY,WHITE,4
214,1/6/2021,106,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,5
215,1/6/2021,106,FELONY ASSAULT,BLACK,27
216,1/6/2021,106,FELONY ASSAULT,HISPANIC,20
217,1/6/2021,106,FELONY ASSAULT,WHITE,5
218,1/6/2021,107,BURGLARY,ASIAN / PACIFIC ISLANDER,1
219,1/6/2021,107,BURGLARY,BLACK,3
220,1/6/2021,107,BURGLARY,HISPANIC,6
221,1/6/2021,107,BURGLARY,WHITE,3
222,1/6/2021,109,GRAND LARCENY,ASIAN / PACIFIC ISLANDER,6
223,1/6/2021,109,GRAND LARCENY,BLACK,12
224,1/6/2021,109,GRAND LARCENY,HISPANIC,15
225,1/6/2021,109,GRAND LARCENY,WHITE,8
226,1/6/2021,110,GRAND LARCENY,ASIAN / PACIFIC ISLANDER,1
227,1/6/2021,110,GRAND LARCENY,BLACK,1
228,1/6/2021,110,GRAND LARCENY,HISPANIC,3
229,1/6/2021,110,GRAND LARCENY,WHITE,3
